IDCANTON,DISTRITO,CODIGOPOSTAL
1,Carmen,10101
1,Merced,10102
1,Hospital,10103
1,Catedral,10104
1,Zapote,10105
1,San Francisco de Dos Ríos,10106
1,Uruca,10107
1,Mata Redonda,10108
1,Pavas,10109
1,Hatillo,10110
1,San Sebastián,10111
2,Escazú,10201
2,San Antonio,10202
2,San Rafael,10203
3,Desamparados,10301
3,San Miguel,10302
3,San Juan de Dios,10303
3,San Rafael Arriba,10304
3,San Antonio,10305
3,Frailes,10306
3,Patarra,10307
3,San Cristóbal,10308
3,Rosario,10309
3,Damas,10310
3,San Rafael Abajo,10311
3,Gravilias,10312
3,Los Guido,10313
4,Santiago,10401
4,Mercedes Sur,10402
4,Barbacoas,10403
4,Grifo Alto,10404
4,San Rafael,10405
4,Candelaria,10406
4,Desamparaditos,10407
4,San Antonio,10408
4,Chires,10409
5,San Marcos,10501
5,San Lorenzo,10502
5,San Carlos,10503
6,Aserrí,10601
6,Tarbaca,10602
6,Vuelta de Jorco,10603
6,San Gabriel,10604
6,Legua,10605
6,Monterrey,10606
6,Salitrillos,10607
7,Colón,10701
7,Guayabo,10702
7,Tabarcia,10703
7,Piedras Negras,10704
7,Picagres,10705
8,Guadalupe,10801
8,San Francisco,10802
8,Calle Blancos,10803
8,Mata de Plátano,10804
8,Ipís,10805
8,Rancho Redondo,10806
8,Purral,10807
9,Santa Ana,10901
9,Salitral,10902
9,Pozos,10903
9,Uruca,10904
9,Piedades,10905
9,Brasil,10906
10,Alajuelita,11001
10,San Josecito,11002
10,San Antonio,11003
10,Concepción,11004
10,San Felipe,11005
11,San Isidro,11101
11,San Rafael,11102
11,Dulce Nombre de Jesús,11103
11,Patalillo,11104
11,Cascajal,11105
12,San Ignacio de Acosta,11201
12,Guaitil,11202
12,Palmichal,11203
12,Cangrejal,11204
12,Sabanillas,11205
13,San Juan,11301
13,Cinco Esquinas,11302
13,Anselmo Llorente,11303
13,León XIII,11304
13,Colima,11305
14,San Vicente,11401
14,San Jerónimo,11402
14,Trinidad,11403
15,San Pedro,11501
15,Sabanilla,11502
15,Mercedes,11503
15,San Rafael,11504
16,San Pablo,11601
16,San Pedro,11602
16,San Juan de Mata,11603
16,San Luis,11604
16,Carara,11605
17,Santa María,11701
17,Jardín,11702
17,Copey,11703
18,Curridabat,11801
18,Granadilla,11802
18,Sánchez,11803
18,Tirrases,11804
19,San Isidro del General,11901
19,General,11902
19,Daniel Flores,11903
19,Rivas,11904
19,San Pedro,11905
19,Platanares,11906
19,Pejibaye,11907
19,Cajón,11908
19,Barú,11909
19,Río Nuevo,11910
19,Paramo,11911
20,San Pablo,12001
20,San Andrés,12002
20,Llano Bonito,12003
20,San Isidro,12004
20,Santa Cruz,12005
20,San Antonio,12006
21,Alajuela,20101
21,San José,20102
21,Carrizal,20103
21,San Antonio,20104
21,Guacima,20105
21,San Isidro,20106
21,Sabanilla,20107
21,San Rafael,20108
